topic,question_id,case_study,question,a,b,c,d,e,f,g,h,i,j,k,l
Shocks and system response,2.5.1.1.,Kisara,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Kisara,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Kisara,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Kisara,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Kisara,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Kisara,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Kisara,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Kisara,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Kisara,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Kleisner,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Kleisner,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,NA,c,d,NA,f,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Kleisner,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Kleisner,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Kleisner,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Kleisner,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Kleisner,Providing scientific information,NA,b,c,NA,e,NA,NA,h,i,NA,NA,NA
Management context,2.4.7.2.,Kleisner,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",a,NA,c,NA,NA,f,g,h,NA,NA,NA,NA
Management context,2.4.7.3.,Kleisner,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Kleisner,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,b,NA,d,NA,f,g,h,NA,NA,NA,NA
Management context,2.4.7.5.,Kleisner,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Kleisner,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Kleisner,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,c,NA,NA,NA,g,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Kleisner,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Kleisner,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Kleisner,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Kleisner,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Kleisner,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Kleisner,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Kleisner,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Kleisner,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Kleisner,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,c,NA,e,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Kleisner,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Kleisner,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Kleisner,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Kleisner,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Lau,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Lau,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Lau,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Lau,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Lau,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Lau,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Lau,Providing scientific information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Lau,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Lau,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Lau,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Lau,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Lau,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Lau,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",NA,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Lau,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Lau,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Lau,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Lau,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Lau,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Lau,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Lau,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Lau,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Lau,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Lau,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Lau,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Lau,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Lau,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Mason,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Mason,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Mason,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Mason,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Mason,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Mason,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Mason,Providing scientific information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Mason,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Mason,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Mason,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,b,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Mason,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Mason,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Mason,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Mason,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Mason,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Mason,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Mason,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Mason,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Mason,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Mason,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Mason,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Mason,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Mason,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Mason,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Mills,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Mills,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Mills,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Mills,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Mills,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Mills,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Mills,Providing scientific information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Mills,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Mills,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Mills,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Mills,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Mills,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,b,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Mills,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,c,NA,e,f,g,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Mills,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Mills,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Mills,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Mills,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Mills,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Mills,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Mills,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Mills,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Mills,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Mills,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Mills,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Mills,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Mills,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
